rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 c5 2 Nc3 Nc6 3 g3 g6 4 Bg2 Bg7 5 Nf3 Nf6 6 0-0 0-0 7 d4,English Opening-Ultra-Symmetrical Line-Full Symmetry Line-Mecking Line
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 c5 2 Nc3 Nc6 3 Nf3 Nf6,English Opening-Symmetrical Variation-Normal Variation-4 Knights System
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 c5 2 Nc3 Nf6 3 g3,English Opening-Symmetrical Variation-Normal Variation-Fianchetto Variation
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 c5 2 Nc3 Nf6 3 g3 d5 4 cxd5 Nxd5 (5 Bg2 Nc7),English Opening-Normal Variation-Fianchetto Variation-Rubinstein System
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 c5 2 Nc3 Nf6 3 Nf3 d5 4 cxd5 Nxd5,English Opening-Symmetrical Variation-Normal Variation-3 Knights System
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 c5 2 Nc3 Nf6 3 Nf3 d5 4 cxd5 Nxd5 5 g3 Nc6 6 Bg2 e6 7 0-0 Be7,English Opening-Normal Variation-3 Knights System-Keres Variation
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 c5 2 Nf3 Nf6 3 b4,English Opening-Symmetrical Variation-Napolitano Gambit
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 c5 2 Nf3 Nf6 3 d4,English Opening-Symmetrical Variation-Anti-Benoni Formation
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 c5 2 Nf3 Nf6 3 d4 cxd4 4 Nxd4 e6,English Opening-Symmetrical Variation-Anti-Benoni Formation-Spielmann Defence
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 c5 2 Nf3 Nf6 3 d4 cxd4 4 Nxd4 e6 5 Nc3 Nc6,English Opening-Symmetrical Variation-Anti-Benoni Formation-Spielmann Defence (Geller Variation)
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 c5 2 Nf3 Nf6 3 d4 cxd4 4 Nxd4 e6 5 Nc3 Nc6 6 g3 Qb6,English Opening-Anti-Benoni Formation-Spielmann Defence-Geller Variation
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 c5 2 Nf3 Nf6 3 g3 b6 4 Bg2 Bb7 5 0-0 e6 6 Nc3 Be7,English Opening-Symmetrical Variation-Hedgehog System
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 c5 2 Nf3 Nf6 3 g3 b6 4 Bg2 Bb7 5 0-0 e6 6 Nc3 Be7 7 d4 cxd4 8 Qxd4 d6 9 Rd1 a6 10 b3 Nbd7,English Opening-Symmetrical Variation-Hedgehog System-Flexible Formation
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 c6,English Opening-Caro/Anglo-Slav/Caro-Kann Defensive System
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 c6 2 Nf3 d5 3 b3,English Opening-Caro-Kann Defensive System (Bogolubov Variation)
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 c6 2 Nf3 d5 3 b3 Bg4,English Opening-Caro-Kann Defensive System-Bogoljubov Variation
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 c6 2 Nf3 d5 3 b3 Nf6 4 Bb2 Bf5,English Opening-Caro-Kann Defensive System-New York Defensive System
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 c6 2 Nf3 d5 3 b3 Nf6 4 Bb2 Bg4,English Opening-Caro-Kann Defensive System-Capablanca's Variation
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 c6 2 Nf3 d5 3 b3 Nf6 4 Bb2 g6,English Opening-Caro-Kann Defensive System-Bled Variation
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 c6 2 Nf3 d5 3 b3 Nf6 4 g3 Bf5,English Opening-Caro-Kann Defensive System-London Defensive System
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 c6 2 Nf3 d5 3 b3 Nf6 4 g3 Bf5 5 Bg2 e6 6 Bb2 Nbd7,English Opening-Caro-Kann Defensive System-London Defensive System-Réti Variation
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 c6 2 Nf3 d5 3 b3 Nf6 4 g3 Bg4,English Opening-Caro-Kann Defensive System-Torre Defensive System
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 c6 2 Nf3 d5 3 b3 Nf6 4 g3 g6,English Opening-Caro-Kann Defensive System-Bled Variation
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 c6 2 Nf3 d5 3 g3 Nf6 4 Bg2 g6,English Opening-Caro-Kann Defensive System-Irregular Variation
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 d5,English Opening-Anglo-Scandinavian Defence
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 d5 2 cxd5 c6,English Opening-Anglo-Scandinavian Defence-Vector Gambit
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 d5 2 cxd5 e6,English Opening-Anglo-Scandinavian Defence-Löhn Gambit
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 d5 2 cxd5 Nf6,English Opening-Anglo-Scandinavian Defence-Schultz Gambit
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 d5 2 cxd5 Qxd5 3 Nc3 Qa5,English Opening-Anglo-Scandinavian Defence-Malvinas Variation
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 e5,English Opening-Bremen/King's English Variation
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 e5 2 e3 Nf6 3 f4 exf4 4 Nf3,English Opening-Bremen Variation-Kahiko-Hula Gambit
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 e5 2 f4,English Opening-Bremen Variation-Double Whammy Variation
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 e5 2 f4 exf4 3 Nf3 g5 4 g3,English Opening-Bremen Variation-Double Whammy Variation-Vampire Gambit
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 e5 2 g3 h5,English Opening-Bremen Variation-Drill Variation
